	ID	类别	代号	商户名称	名称	logo	简介	联系人	电话	TG	whatsapp	邮箱	SKYPE	QQ	微信	详情	图片上传	链接	对接文档（下载）	地址	标签（later）	来源	操作人	录入日期
10	-1	游戏	LEG	-1.0	乐游棋牌	-1.0	全球顶级棋牌系统，数十款热门棋牌游戏	-1	639307499999	-1	-1.0	-1	LEGaming	-1	-1	乐游游戏是乐游集团旗下，专注于全球华人游戏市场的开发商和运营商。 乐游游戏以专注的精神和独特的创意设计能力，通过自主研发和精细化运营，打造了如德州扑克、斗地主、炸金花、抢庄牛牛等数十款经典的网络棋牌类游戏。 作为亚洲首家专业棋牌游戏供应商，我们致力于打造能为线上用户提供真实、刺激、公平的游戏平台。 我们拥有先进的自主研发体系，公司60%以上员工来自腾讯、JJ竞技世界、联众等知名棋牌游戏公司。 强大的技术研发实力，确保有效的提升商户收入、用户留存等关键数据。简单易操作的接入方式，平均只需1天即可对接完成上线。 未来，乐游游戏将会继续专注于棋牌类游戏的研发，加大市场渗透力度、进一步拓展全球业务、聚焦用户体验、持续提升商户所得收益。	-1.0	https://leg666.com/index.html	-1.0	-1.0	-1.0	博牛	Joshua	06/17/2019
11	-1	游戏	LCQP	-1.0	龙城棋牌	-1.0	最强棋牌，全方位品牌自定义，顶级UI任你选	-1	639208618888	-1	639208618888.0	lcgames888@gmail.com	LCgames	-1	-1	-1	-1.0	https://www.lc218.com/shouye.html	-1.0	-1.0	-1.0	博牛	Joshua	06/17/2019
12	-1	游戏	VR	-1.0	VR Gaming	-1.0	高画质专业彩票游戏，最多彩种，全面API	-1	-1	-1	-1.0	www791106@gmail.com	www791106	-1	-1	"VR Gaming是一家致力于提供方便的博弈游戏娱乐平台公司，藉由提供的平台让经营者可以快速且安全的提供给玩家各种娱乐的选择。 VR Gaming定位为平台系统与游戏提供商，采B2B商业模式，为客户提供游戏以及相关的系统平台，客户为营运商，不直接面对第一线玩家。 简单说，VR Gaming建立的是一个""提供商品牌"",而非第一线游戏网站的营运商品牌。 致力发展高画质专业彩票平台,提供多元化视频传输,凭借着高频率的开奖次数,中奖率高、玩法丰富、投注简易以及准确度高达99.9%的开奖流程,VR的目标是建立一个公平、公正、公开的权威性全方面彩票平台给市场大众。"	-1.0	http://videoracing.com/default.aspx	-1.0	-1.0	-1.0	博牛	Joshua	06/17/2019
13	-1	包网	818	-1.0	818娱乐	-1.0	为您量身打造网投娱乐平台航空母舰	-1	-1	-1	-1.0	818bet@gmail.com	live:bet818	95768888	-1	-1	-1.0	http://www.818bet.com/	-1.0	-1.0	-1.0	博牛	Joshua	06/18/2019
14	-1	包网	DC	-1.0	大成娱乐	-1.0	百人团队十年技术，整套系统自主研发	-1	-1	-1	-1.0	dachengyule168@gmail.com	dachengyule168@gmail.com	2655604300	-1	-1	-1.0	http://www.vipdacheng.com/	-1.0	-1.0	-1.0	博牛	Joshua	06/18/2019
15	-1	包网	AY	-1.0	奥赢棋牌	-1.0	震撼来袭，全球最强棋牌原生APP	-1	639158850068	639158850068	-1.0	vg68881@gmail.com	vg68881	-1	-1	-1	-1.0	https://www.allin98.com/#/contact	-1.0	-1.0	-1.0	博牛	Joshua	06/18/2019
16	-1	游戏	YY	-1.0	优盈	-1.0	专业彩票直播第一平台	-1	-1	-1	-1.0	-1	-1	16666660	-1	-1	-1.0	https://www.uyingvip.com/#main_1f	-1.0	-1.0	-1.0	博牛	Joshua	06/18/2019
17	-1	其他	-1	-1.0	高薪诚聘	-1.0	电销，客服，代理，makati直招	-1	-1	-1	-1.0	-1	-1	1686666995	baiseng77	-1	-1.0	-1	-1.0	-1.0	-1.0	博牛	Joshua	06/18/2019
18	-1	其他	WB	-1.0	韦博	-1.0	诚邀代理加盟，高达55%佣金	-1	-1	-1	-1.0	-1	-1	1227788856	dingjiaxun123	-1	-1.0	https://w88mf.com/app	-1.0	-1.0	-1.0	博牛	Joshua	06/18/2019
19	-1	包网	QJ	-1.0	奇迹娱乐	-1.0	亚洲最大包网平台，极速建站，一日上线	蒋先生	639772796049	-1	639772796049.0	marketing@kzing.com	-1	-1	-1	-1	-1.0	https://www.kzing.com/index.html	-1.0	-1.0	-1.0	博牛	Joshua	06/18/2019
