学校招生代码,学校名称,专业招生代码,专业名称,计划,语种,学制,学费
 	0003 ,	安徽工程大学 (芜湖)  理工——普通类本科批 ,35,统计学,2,不限,4,待定
 	0005 ,	安徽工业大学 (马鞍山)  理工——普通类本科批 ,A1,材料成型及控制工程,2,不限,4,待定
 	0005 ,	安徽工业大学 (马鞍山)  理工——普通类本科批 ,B1,材料科学与工程,2,不限,4,待定
 	0005 ,	安徽工业大学 (马鞍山)  理工——普通类本科批 ,B3,金属材料工程,2,不限,4,待定
 	0005 ,	安徽工业大学 (马鞍山)  理工——普通类本科批 ,D4,工程管理,1,不限,4,待定
 	0005 ,	安徽工业大学 (马鞍山)  理工——普通类本科批 ,D5,建筑环境与能源应用工程,2,不限,4,待定
 	0005 ,	安徽工业大学 (马鞍山)  理工——普通类本科批 ,E2,机械工程,2,不限,4,待定
 	0005 ,	安徽工业大学 (马鞍山)  理工——普通类本科批 ,E3,机械设计制造及其自动化,2,不限,4,待定
 	0005 ,	安徽工业大学 (马鞍山)  理工——普通类本科批 ,H7,物流工程,2,不限,4,待定
 	0005 ,	安徽工业大学 (马鞍山)  理工——普通类本科批 ,N9,经济统计学,2,不限,4,待定
 	0005 ,	安徽工业大学 (马鞍山)  理工——普通类本科批 ,Y2,电子信息类(通信工程、电子信息工程),2,不限,4,待定
 	0005 ,	安徽工业大学 (马鞍山)  理工——普通类本科批 ,Y3,自动化类(自动化、测控技术与仪器),2,不限,4,待定
 	0007 ,	安徽建筑大学城市建设学院 (合肥)  理工——普通类本科批 ,	05,安全工程,1,不限,4,待定
 	0007 ,	安徽建筑大学城市建设学院 (合肥)  理工——普通类本科批 ,	06,给排水科学与工程,2,不限,4,待定
 	0007 ,	安徽建筑大学城市建设学院 (合肥)  理工——普通类本科批 ,12,机械设计制造及其自动化,2,不限,4,待定
 	0006 ,	安徽建筑大学 (合肥)  理工——普通类本科批 ,	0	0,土木工程,1,不限,4,待定
 	0006 ,	安徽建筑大学 (合肥)  理工——普通类本科批 ,	05,勘查技术与工程,1,不限,4,待定
 	0006 ,	安徽建筑大学 (合肥)  理工——普通类本科批 ,	06,交通工程,1,不限,4,待定
 	0006 ,	安徽建筑大学 (合肥)  理工——普通类本科批 ,	0C,能源与动力工程,1,不限,4,待定
 	0006 ,	安徽建筑大学 (合肥)  理工——普通类本科批 ,	0F,环境工程,1,不限,4,待定
 	0006 ,	安徽建筑大学 (合肥)  理工——普通类本科批 ,	0N,会计学,1,不限,4,待定
 	0006 ,	安徽建筑大学 (合肥)  理工——普通类本科批 ,	0P,财务管理,1,不限,4,待定
 	0006 ,	安徽建筑大学 (合肥)  理工——普通类本科批 ,	0R,电子信息工程,1,不限,4,待定
 	0006 ,	安徽建筑大学 (合肥)  理工——普通类本科批 ,	0S,通信工程,1,不限,4,待定
 	0006 ,	安徽建筑大学 (合肥)  理工——普通类本科批 ,	0T,计算机科学与技术,1,不限,4,待定
 	0006 ,	安徽建筑大学 (合肥)  理工——普通类本科批 ,	0U,网络工程,1,不限,4,待定
 	0006 ,	安徽建筑大学 (合肥)  理工——普通类本科批 ,	0Z,无机非金属材料工程,1,不限,4,待定
 	0006 ,	安徽建筑大学 (合肥)  理工——普通类本科批 ,10,高分子材料与工程,1,不限,4,待定
 	0006 ,	安徽建筑大学 (合肥)  理工——普通类本科批 ,11,化学工程与工艺,1,不限,4,待定
 	0006 ,	安徽建筑大学 (合肥)  理工——普通类本科批 ,1B,机械设计制造及其自动化,1,不限,4,待定
 	0006 ,	安徽建筑大学 (合肥)  理工——普通类本科批 ,1G,电气工程及其自动化,1,不限,4,待定
 	0008 ,	安徽科技学院 (凤阳县)  理工——普通类本科批 ,	02,财务管理,1,不限,4,待定
 	0008 ,	安徽科技学院 (凤阳县)  理工——普通类本科批 ,	06,建筑电气与智能化,2,不限,4,待定
 	0008 ,	安徽科技学院 (凤阳县)  理工——普通类本科批 ,	07,电子信息工程,2,不限,4,待定
 	0008 ,	安徽科技学院 (凤阳县)  理工——普通类本科批 ,	09,光电信息科学与工程,1,不限,4,待定
 	0008 ,	安徽科技学院 (凤阳县)  理工——普通类本科批 ,	0B,电气工程及其自动化,1,不限,4,待定
 	0008 ,	安徽科技学院 (凤阳县)  理工——普通类本科批 ,	0J,无机非金属材料工程,1,不限,4,待定
 	0008 ,	安徽科技学院 (凤阳县)  理工——普通类本科批 ,	0K,材料科学与工程,1,不限,4,待定
 	0008 ,	安徽科技学院 (凤阳县)  理工——普通类本科批 ,	0M,城乡规划,2,不限,5,待定
 	0008 ,	安徽科技学院 (凤阳县)  理工——普通类本科批 ,	0P,建筑学,1,不限,5,待定
 	0008 ,	安徽科技学院 (凤阳县)  理工——普通类本科批 ,	0R,计算机科学与技术,1,不限,4,待定
 	0008 ,	安徽科技学院 (凤阳县)  理工——普通类本科批 ,	0V,网络工程,2,不限,4,待定
 	0009 ,	安徽理工大学 (淮南)  理工——普通类本科批 ,1H,工程力学,2,不限,4,待定
 	0009 ,	安徽理工大学 (淮南)  理工——普通类本科批 ,1M,过程装备与控制工程,2,不限,4,待定
 	0009 ,	安徽理工大学 (淮南)  理工——普通类本科批 ,1Q,无机非金属材料工程,2,不限,4,待定
 	0009 ,	安徽理工大学 (淮南)  理工——普通类本科批 ,1S,复合材料与工程,2,不限,4,待定
 	0009 ,	安徽理工大学 (淮南)  理工——普通类本科批 ,4P,给排水科学与工程,2,不限,4,待定
 	0009 ,	安徽理工大学 (淮南)  理工——普通类本科批 ,4T,测绘工程,2,不限,4,待定
 	0009 ,	安徽理工大学 (淮南)  理工——普通类本科批 ,50,地质工程,2,不限,4,待定
 	0009 ,	安徽理工大学 (淮南)  理工——普通类本科批 ,5F,医学检验技术,2,不限,4,待定
 	0009 ,	安徽理工大学 (淮南)  理工——普通类本科批 ,5S,测控技术与仪器,2,不限,4,待定
 	0009 ,	安徽理工大学 (淮南)  理工——普通类本科批 ,5T,建筑环境与能源应用工程,2,不限,4,待定
 	0010 ,	安徽农业大学 (合肥)  理工——普通类本科批 ,	05,动物科学,2,不限,4,4290
 	0010 ,	安徽农业大学 (合肥)  理工——普通类本科批 ,12,农业机械化及其自动化,1,不限,4,4290
 	0010 ,	安徽农业大学 (合肥)  理工——普通类本科批 ,21,农林经济管理,1,不限,4,3850
 	0010 ,	安徽农业大学 (合肥)  理工——普通类本科批 ,24,信息与计算科学,1,不限,4,4290
 	0010 ,	安徽农业大学 (合肥)  理工——普通类本科批 ,29,木材科学与工程,2,不限,4,4290
 	0010 ,	安徽农业大学 (合肥)  理工——普通类本科批 ,33,农学,2,不限,4,4290
 	0010 ,	安徽农业大学 (合肥)  理工——普通类本科批 ,59,园艺,2,不限,4,4290
 	0010 ,	安徽农业大学 (合肥)  理工——普通类本科批 ,60,设施农业科学与工程,1,不限,4,4290
 	0010 ,	安徽农业大学 (合肥)  理工——普通类本科批 ,61,植物保护,1,不限,4,4290
 	0010 ,	安徽农业大学 (合肥)  理工——普通类本科批 ,7B,计算机类(计算机科学与技术、网络工程、物联网工程),1,不限,4,4290
 	0010 ,	安徽农业大学 (合肥)  理工——普通类本科批 ,7Q,食品科学与工程类(食品科学与工程、食品质量与安全),2,不限,4,4290
 	0012 ,	安徽师范大学 (芜湖)  理工——普通类本科批 ,	08,行政管理,2,不限,4,待定
 	0012 ,	安徽师范大学 (芜湖)  理工——普通类本科批 ,	0S,心理学(师范类),2,不限,4,待定
 	0012 ,	安徽师范大学 (芜湖)  理工——普通类本科批 ,13,数学与应用数学(师范类),2,不限,4,待定
 	0012 ,	安徽师范大学 (芜湖)  理工——普通类本科批 ,14,统计学,2,不限,4,待定
 	0012 ,	安徽师范大学 (芜湖)  理工——普通类本科批 ,1P,土地资源管理,2,不限,4,待定
 	0012 ,	安徽师范大学 (芜湖)  理工——普通类本科批 ,1W,生态学,2,不限,4,待定
 	0012 ,	安徽师范大学 (芜湖)  理工——普通类本科批 ,1Z,生物制药,2,不限,4,待定
 	0012 ,	安徽师范大学 (芜湖)  理工——普通类本科批 ,2S,工商管理类(会计学、财务管理、物流管理、人力资源管理),2,不限,4,待定
 	0012 ,	安徽师范大学 (芜湖)  理工——普通类本科批 ,2U,计算机类(计算机科学与技术、软件工程、物联网工程),4,不限,4,待定
 	0012 ,	安徽师范大学 (芜湖)  理工——普通类本科批 ,2V,地理科学类(地理信息科学、地理科学(师范)),2,不限,4,待定
 	0016 ,	安徽新华学院 (合肥)  理工——普通类本科批 ,28,药学,3,不限,4,16500
 	0016 ,	安徽新华学院 (合肥)  理工——普通类本科批 ,29,制药工程,4,不限,4,16900
 	0016 ,	安徽新华学院 (合肥)  理工——普通类本科批 ,40,电子信息工程,3,不限,4,16900
 	0018 ,	安徽医科大学 (合肥)  理工——普通类本科批 ,	02,临床医学,5,不限,5,4800
 	0020 ,	安康学院 (陕西)  理工——普通类本科批 ,35,工程管理,2,不限,4,4500
 	0021 ,	安庆师范大学 (安徽)  理工——普通类本科批 ,1S,电子信息科学与技术,5,不限,4,待定
 	0021 ,	安庆师范大学 (安徽)  理工——普通类本科批 ,1W,计算机科学与技术,5,不限,4,待定
 	0026 ,	鞍山师范学院  理工——普通类本科批 ,21,英语(一年后分流为英语（师范），英语，商务英语),20,英语,4,4800
 	0026 ,	鞍山师范学院  理工——普通类本科批 ,22,日语,5,英日,4,4800
 	0026 ,	鞍山师范学院  理工——普通类本科批 ,23,会计学,11,不限,4,4200
 	0026 ,	鞍山师范学院  理工——普通类本科批 ,24,市场营销,7,不限,4,4200
 	0026 ,	鞍山师范学院  理工——普通类本科批 ,25,应用心理学,8,不限,4,4200
 	0026 ,	鞍山师范学院  理工——普通类本科批 ,26,教育技术学,12,不限,4,4200
 	0026 ,	鞍山师范学院  理工——普通类本科批 ,27,数学与应用数学(师范类),28,不限,4,3500
 	0026 ,	鞍山师范学院  理工——普通类本科批 ,28,计算机科学与技术,46,不限,4,4800
 	0026 ,	鞍山师范学院  理工——普通类本科批 ,29,应用统计学,15,不限,4,4200
 	0026 ,	鞍山师范学院  理工——普通类本科批 ,30,物理学(师范类),29,不限,4,3500
 	0026 ,	鞍山师范学院  理工——普通类本科批 ,31,电子信息科学与技术,14,不限,4,4800
 	0026 ,	鞍山师范学院  理工——普通类本科批 ,32,电子科学与技术,10,不限,4,4800
 	0026 ,	鞍山师范学院  理工——普通类本科批 ,33,应用化学,25,不限,4,4200
 	0026 ,	鞍山师范学院  理工——普通类本科批 ,34,食品科学与工程,12,不限,4,4200
 	0026 ,	鞍山师范学院  理工——普通类本科批 ,35,食品营养与检验教育(师范类),14,不限,4,3500
 	0026 ,	鞍山师范学院  理工——普通类本科批 ,36,生物科学(师范类),12,不限,4,3500
 	0026 ,	鞍山师范学院  理工——普通类本科批 ,37,化学(师范类),26,不限,4,3500
 	0022 ,	安顺学院 (贵州)  理工——普通类本科批 ,	0T,材料物理,1,不限,4,4200
 	0022 ,	安顺学院 (贵州)  理工——普通类本科批 ,10,农学,1,不限,4,3830
 	0023 ,	安阳工学院 (河南)  理工——普通类本科批 ,	05,商务英语,3,英语,4,3400
 	0023 ,	安阳工学院 (河南)  理工——普通类本科批 ,13,电气工程及其自动化,3,不限,4,3700
 	0023 ,	安阳工学院 (河南)  理工——普通类本科批 ,19,机械电子工程,3,不限,4,3700
 	0023 ,	安阳工学院 (河南)  理工——普通类本科批 ,23,网络工程,3,不限,4,3700
 	0023 ,	安阳工学院 (河南)  理工——普通类本科批 ,42,城乡规划,3,不限,5,3700
 	0025 ,	安阳师范学院 (河南)  理工——普通类本科批 ,	03,计算机类(计算机科学与技术、软件工程、物联网工程),3,不限,4,3700
 	0025 ,	安阳师范学院 (河南)  理工——普通类本科批 ,	05,化学(师范类),3,不限,4,3700
 	0025 ,	安阳师范学院 (河南)  理工——普通类本科批 ,	09,电气工程及其自动化,2,不限,4,3700
 	0025 ,	安阳师范学院 (河南)  理工——普通类本科批 ,27,数学与应用数学(师范类),3,不限,4,3700
 	0027 ,	白城师范学院 (吉林)  理工——普通类本科批 ,C1,动物科学,2,不限,4,3500
 	0027 ,	白城师范学院 (吉林)  理工——普通类本科批 ,D1,工程管理,1,不限,4,3800
 	0030 ,	百色学院 (广西)  理工——普通类本科批 ,	0X,数学与应用数学(师范类),2,不限,4,4600
 	0030 ,	百色学院 (广西)  理工——普通类本科批 ,1A,物理学(师范类),2,不限,4,4500
 	0030 ,	百色学院 (广西)  理工——普通类本科批 ,1E,化学(师范类),2,不限,4,4600
 	0030 ,	百色学院 (广西)  理工——普通类本科批 ,1X,财务管理,2,不限,4,4600
 	0031 ,	蚌埠医学院 (安徽)  理工——普通类本科批 ,	03,医学影像学,5,不限,5,待定
 	0033 ,	保定学院 (河北)  理工——普通类本科批 ,51,数学与应用数学,1,不限,4,待定
 	0033 ,	保定学院 (河北)  理工——普通类本科批 ,52,软件工程,1,不限,4,待定
 	0033 ,	保定学院 (河北)  理工——普通类本科批 ,61,物理学,1,不限,4,待定
 	0033 ,	保定学院 (河北)  理工——普通类本科批 ,71,化学,1,不限,4,待定
 	0033 ,	保定学院 (河北)  理工——普通类本科批 ,B1,教育技术学,1,不限,4,待定
 	0033 ,	保定学院 (河北)  理工——普通类本科批 ,B2,物联网工程,1,不限,4,待定
 	0033 ,	保定学院 (河北)  理工——普通类本科批 ,C2,物流工程,1,不限,4,待定
 	0032 ,	宝鸡文理学院 (陕西)  理工——普通类本科批 ,19,信息与计算科学,3,不限,4,4500
 	0032 ,	宝鸡文理学院 (陕西)  理工——普通类本科批 ,23,地理科学(师范类),3,不限,4,4500
 	0032 ,	宝鸡文理学院 (陕西)  理工——普通类本科批 ,26,应用心理学(师范类),2,不限,4,4500
 	0032 ,	宝鸡文理学院 (陕西)  理工——普通类本科批 ,27,统计学,3,不限,4,4500
 	0032 ,	宝鸡文理学院 (陕西)  理工——普通类本科批 ,29,材料成型及控制工程,3,不限,4,4500
 	0032 ,	宝鸡文理学院 (陕西)  理工——普通类本科批 ,31,工业设计,2,不限,4,4500
 	0032 ,	宝鸡文理学院 (陕西)  理工——普通类本科批 ,32,测控技术与仪器,3,不限,4,4500
 	0032 ,	宝鸡文理学院 (陕西)  理工——普通类本科批 ,38,自动化类(自动化、轨道交通信号与控制),3,不限,4,4500
 	0032 ,	宝鸡文理学院 (陕西)  理工——普通类本科批 ,41,物联网工程,3,不限,4,4500
 	0032 ,	宝鸡文理学院 (陕西)  理工——普通类本科批 ,47,工商管理类(工商管理、市场营销、会计学、人力资源管理),2,不限,4,4500
 	0036 ,	北方工业大学 (北京)  理工——普通类本科批 ,	01,经济与贸易类(经济与金融、国际经济与贸易),2,不限,4,4200
 	0036 ,	北方工业大学 (北京)  理工——普通类本科批 ,	08,信息与计算科学,2,不限,4,4600
 	0036 ,	北方工业大学 (北京)  理工——普通类本科批 ,	0B,机械设计制造及其自动化(理工科实验班),1,不限,4,4600
 	0036 ,	北方工业大学 (北京)  理工——普通类本科批 ,	0C,工业设计,2,不限,4,4600
 	0036 ,	北方工业大学 (北京)  理工——普通类本科批 ,	0D,材料科学与工程,2,不限,4,4600
 	0036 ,	北方工业大学 (北京)  理工——普通类本科批 ,	0E,电气类(电气工程及其自动化、自动化、新能源科学与工程、交通设备与控制工程),7,不限,4,4600
 	0036 ,	北方工业大学 (北京)  理工——普通类本科批 ,	0G,电子信息类(电子信息工程、通信工程、微电子科学与工程),4,不限,4,4600
 	0036 ,	北方工业大学 (北京)  理工——普通类本科批 ,	0H,电子信息工程(理工科实验班),1,不限,4,4600
 	0036 ,	北方工业大学 (北京)  理工——普通类本科批 ,	0M,自动化(创新实验班),1,不限,4,4600
 	0036 ,	北方工业大学 (北京)  理工——普通类本科批 ,	0N,计算机类(计算机科学与技术、信息安全、数字媒体技术),4,不限,4,4600
 	0036 ,	北方工业大学 (北京)  理工——普通类本科批 ,	0Q,计算机科学与技术(创新实验班),1,不限,4,4600
 	0036 ,	北方工业大学 (北京)  理工——普通类本科批 ,12,建筑环境与能源应用工程(绿色建筑与新能源),2,不限,4,4600
 	0036 ,	北方工业大学 (北京)  理工——普通类本科批 ,13,城市地下空间工程(智慧城市与智能化建造),2,不限,4,4600
 	0036 ,	北方工业大学 (北京)  理工——普通类本科批 ,15,建筑学,2,不限,5,4600
 	0036 ,	北方工业大学 (北京)  理工——普通类本科批 ,18,风景园林,2,不限,4,4600
 	0036 ,	北方工业大学 (北京)  理工——普通类本科批 ,19,工程管理(建筑智能化管理),2,不限,4,4200
 	0036 ,	北方工业大学 (北京)  理工——普通类本科批 ,1C,会计学,2,不限,4,4200
 	0036 ,	北方工业大学 (北京)  理工——普通类本科批 ,1F,电子信息工程(国际化培养班),1,不限,4,4600
 	0036 ,	北方工业大学 (北京)  理工——普通类本科批 ,1H,机械类(机械设计制造及其自动化、机械电子工程),2,不限,4,4600
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,	02,税收学,1,不限,4,4400
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,	03,金融学,1,不限,4,4800
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,13,英语,1,不限,4,4000
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,14,商务英语,1,不限,4,4000
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,16,阿拉伯语,1,不限,4,4000
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,18,信息与计算科学,1,不限,4,4400
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,20,应用统计学,1,不限,4,4400
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,23,生物技术,5,不限,4,4400
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,25,食品科学与工程,2,不限,4,4400
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,28,材料成型及控制工程,1,不限,4,4800
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,32,过程装备与控制工程,1,不限,4,4800
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,33,化学工程与工艺,2,不限,4,4800
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,36,通信工程,1,不限,4,4800
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,37,电子信息工程,1,不限,4,4800
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,43,网络工程,1,不限,4,4400
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,44,信息管理与信息系统,1,不限,4,4400
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,C9,制药工程(与合肥工业大学联合培养),3,不限,4,4800
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,D4,机械电子工程,1,不限,4,4400
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 , 	0038 ,	北方民族大学 (银川)  理工——普通类本科批 ,	60 , , , 
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,68,经济学(只招少数民族考生),1,不限,4,4400
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,69,税收学(只招少数民族考生),1,不限,4,4400
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,70,金融学(只招少数民族考生),1,不限,4,4800
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,71,国际经济与贸易(只招少数民族考生),1,不限,4,4400
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,80,英语(只招少数民族考生),3,不限,4,4000
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,84,数学与应用数学(只招少数民族考生),1,不限,4,4400
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,85,信息与计算科学(只招少数民族考生),1,不限,4,4400
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,86,统计学(只招少数民族考生),1,不限,4,4400
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,88,金融数学(只招少数民族考生),1,不限,4,4400
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,91,生物工程(只招少数民族考生),1,不限,4,4400
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,92,食品科学与工程(只招少数民族考生),1,不限,4,4400
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,93,机械设计制造及其自动化(只招少数民族考生),1,不限,4,4800
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,94,工业设计(只招少数民族考生),1,不限,4,4400
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,95,材料成型及控制工程(只招少数民族考生),3,不限,4,4800
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,96,材料科学与工程(只招少数民族考生),2,不限,4,4800
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,97,高分子材料与工程(只招少数民族考生),1,不限,4,4800
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,98,新能源材料与器件(只招少数民族考生),2,不限,4,4800
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,99,过程装备与控制工程(只招少数民族考生),2,不限,4,4800
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,A3,电气工程及其自动化(只招少数民族考生),2,不限,4,4800
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,A4,通信工程(只招少数民族考生),2,不限,4,4800
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,A5,电子信息工程(只招少数民族考生),2,不限,4,4800
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,A7,测控技术与仪器(只招少数民族考生),2,不限,4,4800
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,A8,自动化(只招少数民族考生),1,不限,4,4800
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,A9,计算机科学与技术(只招少数民族考生),2,不限,4,4400
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,B1,软件工程(只招少数民族考生),2,不限,4,4400
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,B2,网络工程(只招少数民族考生),1,不限,4,4400
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,B3,信息管理与信息系统(只招少数民族考生),1,不限,4,4400
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,B4,土木工程(只招少数民族考生),3,不限,4,4800
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,B5,水利水电工程(只招少数民族考生),3,不限,4,4400
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,B7,工商管理(只招少数民族考生),1,不限,4,4400
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,B8,会计学(只招少数民族考生),1,不限,4,4800
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,B9,财务管理(只招少数民族考生),2,不限,4,4400
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,C1,物流管理(只招少数民族考生),1,不限,4,4400
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,C2,电子商务(只招少数民族考生),3,不限,4,4400
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,C3,人力资源管理(只招少数民族考生),1,不限,4,4400
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,C4,公共事业管理(只招少数民族考生),1,不限,4,4400
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,C5,行政管理(只招少数民族考生),1,不限,4,4400
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,C6,旅游管理(只招少数民族考生),1,不限,4,4400
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,D5,机械电子工程(只招少数民族考生),1,不限,4,4400
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,Z1,数据科学与大数据技术(只招少数民族考生),1,不限,4,4400
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 , 	1831 ,	北方民族大学 (银川)  理工——普通类本科批 ,	4 , , , 
 	0037 ,	北方民族大学 (银川)  理工——普通类本科批 ,AA,少数民族预科班,4,英语,1,2500
 	0041 ,	北华大学 (吉林市)  理工——普通类本科批 ,	01,机械类(机械设计制造及其自动化、材料成型及控制工程),4,不限,4,3850
 	0041 ,	北华大学 (吉林市)  理工——普通类本科批 ,GB,日语,2,不限,4,5060
 	0041 ,	北华大学 (吉林市)  理工——普通类本科批 ,GC,朝鲜语,2,英语,4,5060
